id,title,artist,release_date,album_id,tags
1,やっぱり雨は降るんだね,TUYU,2022-02-19,1,"Sad"
2,夏浅し[Inst.],TUYU,2022-02-19,1,"Calm"
3,風薫る空の下,TUYU,2019-08-06,1,"Happy"
4,アサガオの散る頃に,TUYU,2015-03-15,1,"Sad"
5,ひとりぼっちと未来,TUYU,2020-03-11,1,"Sad"
6,あの世行きのバスに乗ってさらば。,TUYU,2019-11-13,1,"Fear"
7,太陽になれるかな,TUYU,2020-02-28,1,"Happy"
8,羨望[Inst.],TUYU,2020-03-11,1,"Angry"
9,くらべられっ子,TUYU,2019-10-16,1,"Sad"
10,ロックな君とはお別れだ,TUYU,2019-12-19,1,"Angry"
11,ナミカレ,TUYU,2020-03-31,1,"Happy"
12,強欲,TUYU,2021-07-13,2,"Angry"
13,デモーニッシュ,TUYU,2021-04-26,2,"Fear"
14,過去に囚われている,TUYU,2020-08-28,2,"Sad"
16,奴隷じゃないなら何ですか？,TUYU,2021-08-15,2,"Angry"
17,ルーザーガール,TUYU,2020-12-26,2,"Sad"
18,雨を浴びる,TUYU,2020-06-26,2,"Happy"
19,秋雨前線[Inst.],TUYU,2021-07-14,2,"Sad"
20,忠犬ハチ,TUYU,2021-07-04,2,"Happy"
21,テリトリーバトル,TUYU,2021-01-21,2,"Angry"
22,かくれんぼっち,TUYU,2021-01-31,2,"Sad"
23,泥の分際で私だけの大切を奪おうだなんて,TUYU,2020-08-22,2,"Angry"
24,終点の先が在るとするならば。,TUYU,2021-10-09,2,"Happy"
25,Under Mentality[Inst.],TUYU,2023-06-21,3,"Fear"
26,不平不満の病,TUYU,2023-06-20,3,"Angry"
27,アンダーキッズ,TUYU,2022-07-22,3,"Angry"
28,腹黒女の戯言,TUYU,2023-06-20,3,"Angry"
29,アンダーヒロイン,TUYU,2023-05-01,3,"Angry"
30,いつかオトナになれるといいね。,TUYU,2022-05-25,3,"Happy"
31,雨宿り,TUYU,2023-06-21,3,"Sad"
32,雨模様,TUYU,2022-09-28,3,"Sad"
33,レインフォール,TUYU,2023-06-20,3,"Sad"
34,これだからやめらんない！,TUYU,2023-03-15,3,"Happy"
35,傷つけど、愛してる。,TUYU,2023-01-14,3,"Sad"
36,朧月夜物語,TUYU,2023-06-20,3,"Sad"
37,くらべられっ子 (TUYU Remix),TUYU,2020-05-31,4,"Happy"
